
64d1868 was Aiden Lewington, 48 seconds ago, message: Update README.md
0d1a2af was Aiden Lewington, 69 seconds ago, message: format readme and provide instructions
159cee2 was aidenlew, 16 minutes ago, message: commenting html and css
11b7297 was aidenlew, 35 minutes ago, message: pages formatted
4a7e6c1 was Tony Guo, 2 hours ago, message: Merge pull request #18 from Tg0o0/Db-Models
0fb9abf was Tony Guo, 2 hours ago, message: changed the logic for short answer questions to reflect the actual mrk instead of the number of questions
302304c was Tony Guo, 3 hours ago, message: Merge pull request #17 from Tg0o0/Db-Models
a3a38ae was Tony Guo, 4 hours ago, message: we back
3d8c7cb was Tony Guo, 4 hours ago, message: Merge branch 'Db-Models' of https://github.com/Tg0o0/CITS3403-Project-2 into Db-Models
97c9775 was Tony Guo, 4 hours ago, message: Merge pull request #16 from Tg0o0/base-layout
8b88053 was Tony Guo, 4 hours ago, message: added the statistics to the mainpage of the website
9c4db24 was aidenlew, 6 hours ago, message: admin wrapper logic
24555a0 was Tony Guo, 8 hours ago, message: Merge pull request #15 from Tg0o0/master
cbc7dc6 was aidenlew, 9 hours ago, message: account page formatted
95859ef was aidenlew, 11 hours ago, message: quiz page html
196fc45 was Tony Guo, 21 hours ago, message: Merge pull request #14 from Tg0o0/master
ffb3206 was Tony Guo, 21 hours ago, message: Merge pull request #13 from Tg0o0/Db-Models
513d8ec was Tony Guo, 21 hours ago, message: added role column in User but could't set the admin roles correctly
686767b was Tony Guo, 21 hours ago, message: Merge pull request #12 from Tg0o0/Db-Models
07647ff was Tony Guo, 21 hours ago, message: Add files via upload
e68b0c0 was Tony Guo, 21 hours ago, message: db with feedback and long answers result implemented
6b770e5 was Tony Guo, 27 hours ago, message: Merge branch 'Db-Models' of https://github.com/Tg0o0/CITS3403-Project-2 into Db-Models
2f931e7 was Tony Guo, 27 hours ago, message: added feedbacks and long_answer to model.py
1099192 was aidenlew, 27 hours ago, message: general page clock and format
cd6a025 was Tony Guo, 28 hours ago, message: Update Game Quiz database Schema with long answers and feedback
8551fde was Tony Guo, 30 hours ago, message: Merge pull request #11 from Tg0o0/master
235df60 was aidenlew, 32 hours ago, message: admin page formatted
